"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"Rapeseed plant 800","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","800","15.3","","79.5","1.5",".7","2.6","","","","","","","","","","","","","","","","","","","","","","","","","8","19","","","","","","","","","",
"Rapeseed plant 900","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","900","16.1","","79.86","1.6",".42","1.67","","","","","","","","","","","","","","","","","","","","","","","","","3.6","140","","","","","","","","","",
"Corn stover 760","Corn stover","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","760","54.0","","38.5",".7","1.3","7.5","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","24","","","","","","","","",
"Pine needles 100","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","100","1.1","","50.87",".71","6.15","42.3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",
"Pine needles 200","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","200",".9","","57.1",".88","5.71","36.3","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","",
"Pine needles 250","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","250","1.2","","61.2",".86","5.54","32.4","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","",
"Pine needles 300","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","300","1.9","","68.9","1.08","4.31","25.7","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","",
"Pine needles 400","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","400","2.3","","77.9","1.16","2.95","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","112","","","","","","","","","",
"Pine needles 500","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","500","2.8","","81.7","1.11","2.26","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","236","","","","","","","","","",
"Pine needles 600","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","600","2.8","","85.4",".98","1.85","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","207","","","","","","","","","",
"Pine needles 700","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","700","2.2","","86.5","1.13","1.28","11.1","","","","","","","","","","","","","","","","","","","","","","","","","","491","","","","","","","","","",
"Anaerobic digested sugar cane bagasse","Other","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","600","","","76.5",".79","2.93","19.8","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","",
"Hardwood char 538","Hard Wood","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","538","27.0","","93.0",".7","2.3","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","",
"Beech sawdust 400","Hard Wood","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","400","","","84.3","","2.91","5.88","","","","","","","","","","","","","","","","","","","","","","","","","16.3","","","","","","","","","","",
"Beech sawdust 1000","Hard Wood","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","1000","","","94.8","",".25","1.03","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","","",
"Corn Stover 700","Corn stover","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","700","58.8","","33.5","1.0","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","7.6","29","","","","","","","","","",
"Corn Stover 450","Corn stover","","Non commercial","","","","Yes","Spokas,  Carbon Manage. 1 (2010) 289-303.","","450","58.0","","33.2","1.4","","8.6","","","","","","","","","","","","","","","","","","","","","","","","","12.7","12","","","","","","","","","",
"Bubinga 250","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","250",".9","61.5","","","","34.9","","","","","","","","","","","","","","","","","","","","","","","","","66.4","5.4","","","","","","","","","",
"Bubinga 400","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","400","1.8","78.6","","","","17.6","","","","","","","","","","","","","","","","","","","","","","","","","41.1","6.1","","","","","","","","","",
"Bubinga 525","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","525","1.2","85.3","","","","11.4","","","","","","","","","","","","","","","","","","","","","","","","","35.0","500.9","","","","","","","","","",
"Bubinga 650","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","650","1.3","83.0","","","","13.8","","","","","","","","","","","","","","","","","","","","","","","","","22.3","548.9","","","","","","","","","",
"Eastern Red Cedar 250","Soft Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","250",".9","65.6","","","","31.4","","","","","","","","","","","","","","","","","","","","","","","","","62.6","68.1","","","","","","","","","",
"Eastern Red Cedar 400","Soft Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","400",".4","77.8","","","","17.9","","","","","","","","","","","","","","","","","","","","","","","","","52.0","7.2","","","","","","","","","",
"Eastern Red Cedar 525","Soft Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","525","1.3","85.4","","","","11.3","","","","","","","","","","","","","","","","","","","","","","","","","39.1","386.5","","","","","","","","","",
"Eastern Red Cedar 650","Soft Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","650","1.0","84.2","","","","11.4","","","","","","","","","","","","","","","","","","","","","","","","","30.9","490.1","","","","","","","","","",
"Eastern Gamma Grass 250","Grass","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","250","6.8","52.7","","","","42.5","","","","","","","","","","","","","","","","","","","","","","","","","62.5","4.1","","","","","","","","","",
"Eastern Gamma Grass 400","Grass","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","400","12.9","58.6","","","","35.4","","","","","","","","","","","","","","","","","","","","","","","","","51.4","12.9","","","","","","","","","",
"Eastern Gamma Grass 525","Grass","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","525","24.8","55.0","","","","40.6","","","","","","","","","","","","","","","","","","","","","","","","","36.7","31.5","","","","","","","","","",
"Eastern Gamma Grass 650","Grass","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","650","15.9","63.8","","","","31.8","","","","","","","","","","","","","","","","","","","","","","","","","20.6","425.9","","","","","","","","","",
"Laurel Oak 250","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","250","1.4","55.2","","","","41.5","","","","","","","","","","","","","","","","","","","","","","","","","66.0","1.8","","","","","","","","","",
"Laurel Oak 400","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","400","2.6","69.6","","","","25.9","","","","","","","","","","","","","","","","","","","","","","","","","51.9","2.2","","","","","","","","","",
"Laurel Oak 525","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","525","6.8","75.1","","","","21.7","","","","","","","","","","","","","","","","","","","","","","","","","36.4","38.2","","","","","","","","","",
"Laurel Oak 650","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","650","3.7","78.8","","","","18.2","","","","","","","","","","","","","","","","","","","","","","","","","20.7","218.7","","","","","","","","","",
"Loblolly Pine 250","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","250",".3","58.0","","","","38.2","","","","","","","","","","","","","","","","","","","","","","","","","61.1","139.7","","","","","","","","","",
"Loblolly Pine 400","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","400",".5","68.6","","","","25.9","","","","","","","","","","","","","","","","","","","","","","","","","58.6","2.9","","","","","","","","","",
"Loblolly Pine 525","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","525","1.2","80.6","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","25.7","206.1","","","","","","","","","",
"Loblolly Pine 650","Hard Wood","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","650","1.1","83.0","","","","12.2","","","","","","","","","","","","","","","","","","","","","","","","","25.2","393.9","","","","","","","","","",
"Sugar Cane Bagasse 250","Other","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","250","9.5","56.2","","","","40.4","","","","","","","","","","","","","","","","","","","","","","","","","71.8","24.3","","","","","","","","","",
"Sugar Cane Bagasse 400","Other","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","400","2.7","60.9","","","","33.7","","","","","","","","","","","","","","","","","","","","","","","","","63.9","6.4","","","","","","","","","",
"Sugar Cane Bagasse 525","Other","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","525","8.7","65.7","","","","30.2","","","","","","","","","","","","","","","","","","","","","","","","","55.1","416.3","","","","","","","","","",
"Sugar Cane Bagasse 600","Other","","Non commercial","","","","Yes","Zimmerman, Environ. Sci. Technol. 44 (2010) 1295-1301","","650","6.8","72.0","","","","24.0","","","","","","","","","","","","","","","","","","","","","","","","","48.8","116.6","","","","","","","","","",
"Giant Reed BC300","Grass","","Commercial","","","","Yes","Zheng et al., Bioresource Technology 130 (2013) 463-471 ","","300","7.69","","65.26",".65","4.51","21.03","","","","","","","","","","","","","","","","","","","","","","","","","","2.72","","",".12","","","3.70","","","",
"Giant Reed BC350","Grass","","Non commercial","","","","Yes","Zheng et al., Bioresource Technology 130 (2013) 463-471","","350","7.73","","66.97",".64","4.46","21.67","","","","","","","","","","","","","","","","","","","","","","","","","","2.16","","",".12","","","3.80","","","",
"Giant Reed BC400","Grass","","Non commercial","","","","Yes","Zheng et al., Bioresource Technology 130 (2013) 463-471","","400","8.45","","72.25",".69","4.09","18.72","","","","","","","","","","","","","","","","","","","","","","","","","","3.04","","",".13","","","4.18","","","",
"Giant Reed BC500","Grass","","Non commercial","","","","Yes","Zheng et al., Bioresource Technology 130 (2013) 463-471","","500","10.70","","73.12",".63","3.01","11.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".16","","","4.77","","","",
"Giant Reed BC600","Grass","","Non commercial","","","","Yes","Zheng et al., Bioresource Technology 130 (2013) 463-471","","600","11.27","","78.61",".55","2.22","11.24","","","","","","","","","","","","","","","","","","","","","","","","","","2.58","","",".17","","","5.02","","","",
"Giant Reed BC200","Grass","","Non commercial","","","","Yes","Wang et al., Environmental Pollution 174 (2013) 289-296","","200","3.99","","48.53",".73","5.86","38.97","4.96","","","","","","","","","","","","","","","","","","","","","","","","","2.46","","","","","","","","","",
"Giant Reed BC300","Grass","","Non commercial","","","","Yes","Wang et al., Environmental Pollution 174 (2013) 289-296","","300","8.00","","62.17",".88","4.51","24.22","6.95","","","","","","","","","","","","","","","","","","","","","","","","","2.18","","","","","","","","","",
"Giant Reed BC350","Grass","","Non commercial","","","","Yes","Wang et al., Environmental Pollution 174 (2013) 289-296","","350","8.58","","66.32",".92","3.99","19.57","7.45","","","","","","","","","","","","","","","","","","","","","","","","","2.15","","","","","","","","","",
"Giant Reed BC400","Grass","","Non commercial","","","","Yes","Wang et al., Environmental Pollution 174 (2013) 289-296","","400","9.65","","72.28",".95","4.04","16.47","7.88","","","","","","","","","","","","","","","","","","","","","","","","","3.04","","","","","","","","","",
"Giant Reed BC500","Grass","","Non commercial","","","","Yes","Wang et al., Environmental Pollution 174 (2013) 289-296","","500","10.03","","74.64",".84","2.84","12.48","10.01","","","","","","","","","","","","","","","","","","","","","","","","","10.52","","","","","","","","","",
"Giant Reed BC600","Grass","","Non commercial","","","","Yes","Wang et al., Environmental Pollution 174 (2013) 289-296","","600","10.75","","77.10",".79","2.16","11.97","10.41","","","","","","","","","","","","","","","","","","","","","","","","","50.05","","","","","","","","","",
"Wheat Straw 450","Grass","","Non commercial","","","fast pyrolysis","Yes","Cheng et al. Biology and Fertility of Soils 48 (2012) 941-946","","450","","","69",".3","","","9.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Woody Waste","Wood","","Non commercial","","","","Yes","Peterson, S. Journal of Elastomers and Plastics 45, 5 (2013) 487-497. ","","","2.70","","78.40","0.2","2.92","15.78","","","740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sugarcane Trash 500","Other","","Non commercial","","","","Yes","Quirk, R. Sugar Tech 14 (2012) 321-326","","500","","","68","1.2","","","9.6","4.8","","","","","","","","","","","","","","","","","","",".9","","40","","","","","",".25","","","2","","","",
"Sugarcane bagasse 500","Other","","Non commercial","","","","Yes","Quirk, R. Sugar Tech 14 (2012) 321-326","","500","","","65","1.1","","","8.4",".18","","","","","","","","","","","","","","","","","","","","","3.5","","","","","",".22","","",".25","","","",
"Rice Straw 200","Grass","","Non commercial","","","","Yes","Lu, J. et al. Journal of Agricultural and Food Chemistry 60 (2012) 6463-6470","","200","11.5","","46.7",".790","5.00","34.3","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","","","","","",
"Rice Straw 350","Grass","","Non commercial","","","","Yes","Lu, J. et al. Journal of Agricultural and Food Chemistry 60 (2012) 6463-6470","","350","31.0","","46.9","2.08","1.34","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","","","","","","","","","",
"Rice Straw 500","Grass","","Non commercial","","","","Yes","Lu, J. et al. Journal of Agricultural and Food Chemistry 60 (2012) 6463-6470","","500","48.4","","40.7","1.18",".15","4.14","","","","","","","","","","","","","","","","","","","","","","","","","","128","","","","","","","","","",
"Wheat Straw 350","Grass","","Non commercial","","","","Yes","Wang, D. et al. Environmental Science and Technology (2012)","","350","","","55","1.1","5.9","","","",".148","","","","","","","","","","","","","","","73","","","","","","","","65","","1100","","32000","2700","11000","","1400","",
"Wheat Straw 550","Grass","","Non commercial","","","","Yes","Wang, D. et al. Environmental Science and Technology (2012)","","550","","","69","1.1","8.5","","","",".136","","","","","","","","","","","","","","","1200","","","","","","","","205","","2500","","44000","4200","13000","","1700","",
"Pine Needle 350","Other","","Non commercial","","","","Yes","Wang, D. et al. Environmental Science and Technology (2012)","","350","","","67","2.8","6.7","","","",".124","","","","","","","","","","","","","","","53","","","","","","","","30","","1200","","2800","6200","15000","","1400","",
"Pine Needles 550","Other","","Non commercial","","","","Yes","Wang, D. et al. Environmental Science and Technology (2012)","","550","","","76","2.5","4.6","","","",".112","","","","","","","","","","","","","","","70","","","","","","","","83","","2700","","50000","4100","27000","","2000","",
"HZ 370","Nutshell","","Non commercial","Oregon ","Thompson Timber Products/Starker Forests","","Yes","Fulton, W et al., Agronamy for Sustainable Development 33, 3 (2013) 469-474. ","","370","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HZ 620 ","Nutshell","","Non commercial","Oregon ","Thompson Timber Products/Starker Forests","","Yes","Fulton, W et al., Agronamy for Sustainable Development 33, 3 (2013) 469-474.","","620","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"DF 370 ","Wood","","Non commercial","Oregon ","Thompson Timber Products/Starker Forests","","Yes","Fulton, W et al., Agronamy for Sustainable Development 33, 3 (2013) 469-474.","","370","2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"DF 620 ","Wood","","Non commercial","Oregon ","Thompson Timber Products/Starker Forests","","Yes","Fulton, W et al., Agronamy for Sustainable Development 33, 3 (2013) 469-474.","","620","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cassava Stem 400 ","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65. ","1.90","400","6.7","","78.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.91","","","","","","","","","","",
"Cassava Stem 450","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.49","450","6.54","","83.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.03","","","","","","","","","","",
"Cassava Stem 500","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.87","500","8.89","","85.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.72","","","","","","","","","","",
"Cassava Stem 550","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.57","550","8.54","","85.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.50","","","","","","","","","","",
"Cassava Stem 600 ","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.26","600","7.25","","87.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","","","","","","","","","","",
"Cassava Rhizome 400","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","2.17","400","8.96","","79.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.84","","","","","","","","","","",
"Cassava Rhizome 450","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.61","450","9.49","","79.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.66","","","","","","","","","","",
"Cassava Rhizome 500","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.88","500","10.47","","80.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.61","","","","","","","","","","",
"Cassava Rhizome 550","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.67","550","11.94","","82.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.78","","","","","","","","","","",
"Cassava Rhizome 600","Other/ Mixed","","Non commercial","","","Slow","Yes","Noor, N. M et al., Iranica Journal of Energy & Environment 3 (2012) 60-65.","1.52","600","10.05","","84.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.84","","","","","","","","","","",
"Willow 450 ","Soft Wood","","Commercial","","","Slow","Yes","Nelissen, V et al., Agronomy 4 (2014) 52-73. ","3.2","450","4.3","","78.4","0.82","2.03","14.45","7.3","","","","","","","","","","","","","","","","","","","","","","33.4","pH 7 Ammonium acetate (Chapman, 1965)","11.2","","","","","","","","","","",
"Willow 550","Soft Wood","","Non commercial","","","Slow","Yes","Nelissen, V et al., Agronomy 4 (2014) 52-73.","3.2","550","3.2","","86.3","0.85","1.95","7.7","7.5","","","","","","","","","","","","","","","","","","","","","","42.8","pH 7 Ammonium acetate (Chapman, 1965)","6.7","","","","","","","","","","",
"Willow 650","Soft Wood","","Non commercial","","","Slow","Yes","Nelissen, V et al., Agronomy 4 (2014) 52-73.","5.3","650","4.9","","84.8","1.00","1.14","8.16","8.1","","","","","","","","","","","","","","","","","","","","","","59.1","pH 7 Ammonium acetate (Chapman, 1965)","6.0","","","","","","","","","","",
"Pine 450 ","Soft Wood","","Non commercial","","","Slow","Yes","Nelissen, V et al., Agronomy 4 (2014) 52-73.","2.6","450","0.9","","86.8","0.19","2.8","9.31","6.7","","","","","","","","","","","","","","","","","","","","","","38.6","pH 7 Ammonium acetate (Chapman, 1965)","12.1","","","","","","","","","","",
"Pine 550 ","Soft Wood","","Non commercial","","","Slow","Yes","Nelissen, V et al., Agronomy 4 (2014) 52-73.","3.3","550","1.0","","91.6","0.19","2.13","5.08","6.8","","","","","","","","","","","","","","","","","","","","","","52.1","pH 7 Ammonium acetate (Chapman, 1965)","7.3","","","","","","","","","","",
"Pine 650 ","Soft Wood","","Non commercial","","","Slow","Yes","Nelissen, V et al., Agronomy 4 (2014) 52-73. ","3.4","650","1.1","","92.6","0.15","1.68","4.47","7.7","","","","","","","","","","","","","","","","","","","","","","68.8","pH 7 Ammonium acetate (Chapman, 1965)","6.0","","","","","","","","","","",
"BB-MMT","Other/ Mixed","","Non commercial","","","Slow","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143. ","","600","","","83.27",".25","2.26","12.41","","","","","","","","","","","","100","","","","","","","","","1400","","","","","408.1","","","800","2100","1400","3300","6800","2300","",
"BG-MMT","Other/ Mixed","","Non commercial","","","Slow","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","75.31","0.28","2.21","15.14","","","","","","","","","","","","100","","","","","","","","","400","","","","","","","","","5700","1900","1100","3200","1500","",
"HC-MMT","Other/ Mixed","","Non commercial","","","Slow","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","80.93","0.28","2.21","15.14","","","","","","","","","","","","100","","","","","","","","","400","","","","","","","","","5700","1900","1100","3200","1500","",
"BB-KLN","Other/ Mixed","","Non commercial","","","","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","81.02","0.25","2.15","15.85","","","","","","","","","","","","100","","","","","","","","","","","","","","239.8","","","3000","1900","500","700","3000","800","",
"BG-KLN","Other/ Mixed","","Non commercial","","","","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","70.20","0.74","2.44","24.44","","","","","","","","","","","","200","","","","","","","","","","","","","","328.6","","","300","8800","1600","600","5300","4600","",
"HC-KLN","Other/ Mixed","","Non commercial","","","","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","78.08","0.33","2.11","18.12","","","","","","","","","","","","100","","","","","","","","","","","","","","224.5","","","","5200","1800","500","5100","700","",
"BB","Other/ Mixed","","Non commercial","","","","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","80.89","0.15","2.43","14.86","","","","","","","","","","","","","","","","","","100","","","100","","","","","375.5","","","5400","3400","2300","5200","400","","",
"BG","Other/ Mixed","","Non commercial","","","","Yes","Yao, Y et al., Chemical Engineering Journal 242 (2014) 136-143.","","600","","","76.45","0.79","2.93","18.32","","","","","","","","","","","","","","","","","","100","","","","","","","","388.3","","","800","9100","2100","1500","1100","500","",
"SM 400","Manure","Swine Manure","Non commercial","Taiwan","","Slow tubular fixed-bed system","Yes","Tsai et al., Chemosphere 89, 2 (2012) 198-203","2.9","400","43.5","","41.8","3.2","1.0","20.6","7.50","","","","","","","","","","","500","","","","","","2100","","","","","","","53.6","5.7","BET Analysis","","61000","55000","30000","31000","","","Inductively Coupled Plasma-Atomic Emission Spectrometer",
"SM 500","Manure","Swine Manure","Non commercial","Taiwan","","Slow tubular fixed-bed system","Yes","Tsai et al., Chemosphere 89, 2 (2012) 198-203","4.4","500","45.8","","41.8","2.6","1.0","18.4","10.21","","","","","","","","","","","500","","","","","","2100","","","","","","","49.8","3.9","BET Analysis","","69000","57000","34000","27000","","","Inductively Coupled Plasma-Atomic Emission Spectrometer",
"SM 600","Manure","Swine Manure","Non commercial","Taiwan","","Slow tubular fixed-bed system","Yes","Tsai et al., Chemosphere 89, 2 (2012) 198-203","4.8","600","47.5","","41.1","2.5","0.8","17.6","10.74","","","","","","","","","","","500","","","","","","2100","","","","","","","47.7","3.4","BET Analysis","","69000","60000","34000","29000","","","Inductively Coupled Plasma-Atomic Emission Spectrometer",
"SM 700","Manure","Swine Manure","Non commercial","Taiwan","","Slow tubular fixed-bed system","Yes","Tsai et al., Chemosphere 89, 2 (2012) 198-203","2.5","700","52.80","","43.9","2.0","0.9","14.9","11.84","","","","","","","","","","","500","","","","","","3400","","","","","","","44.7","59","BET Analysis","","75000","50000","34000","27000","","","Inductively Coupled Plasma-Atomic Emission Spectrometer",
"SM 800","Manure","Swine Manure","Non commercial","Taiwan","","Slow tubular fixed-bed system","Yes","Tsai et al., Chemosphere 89, 2 (2012) 198-203","2.6","800","51.8","","42.1","1.6","1.1","13.5","11.44","","","","","","","","","","","600","","","","","","5000","","","","","","","45.6","63","BET Analysis","","77000","53000","34000","27000","","","Inductively Coupled Plasma-Atomic Emission Spectrometer",
"Pine 300 10 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","0.3","","54.1","","5.9","","4.5","","","","","","","","","","","","","","","","","","","","","","","","78","","","","","","","","","","",
"Pine 300 60 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","300","0.5","","71.3","","4.7","","5.7","","","","","","","","","","","","","","","","","","","","","","","","42.6","6","BET Analysis","","","","","","","","",
"Pine 450 10 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","1.0","","82.5","","3.8","","6.6","","","","","","","","","","","","","","","","","","","","","","","","21.4","4","BET Analysis","","","","","","","","",
"Pine 450 60 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","450","1.2","","86.3","","3.5","","6.7","","","","","","","","","","","","","","","","","","","","","","","","16.8","23","BET Analysis","","","","","","","","",
"Pine 600 10 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 10 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","1.2","","90.0","","2.6","","6.7","","","","","","","","","","","","","","","","","","","","","","","","8.2","196","BET Analysis","","","","","","","","",
"Pine 600 60 min Residence Time","Soft Wood","","Commercial","Poland","","Slow vertical, tubular Reactor Residence time 60 min","Yes","Ronsse et al., GCB Bioenergy 5 (2013) 104-115","","600","1.3","","92.3","","2.3","","9.1","","","","","","","","","","","","","","","","","","","","","","","","6.4","127","BET Analysis","","","","","","","","",
